,Lawyer_name,years_of_experience,no_of_cases,no_of_success_cases,fees_per_hearing,case_text
15561,49,5,447,390,31226,relevant principles in the context of claimed breach of s 52 as explained by the full court in sap australia 1999 fca 1821 169 alr 1 at 14 include the following 8226 initial confusion is sufficient and it is not necessary for confusion to induce or be likely to induce a transaction conduct which misleads a customer so that under some mistaken impression of a traders connection or affiliation he or she opens negotiations or invites approaches may be misleading or deceptive even if the true position emerges before the transaction is concluded 8226 however each case depends on its own facts and conduct may not be misleading or deceptive or likely to mislead or deceive notwithstanding that it may engender temporary and commercially irrelevant error cf knight v beyond properties pty ltd 2007 fcafc 170 at 56 hansen beverage company v bickfords australia pty ltd 2008 fcafc 181 at 41 8226 characterisation of conduct as misleading or deceptive or likely to mislead or deceive involves a judgment of a notional cause and effect relationship between the conduct and putative consumers state of mind 71 in addition to these principles it is also clear that 8226 in order to determine whether there has been any contravention of s 52 it is necessary to determine whether or not the conduct complained of amounted to a representation which has or would be likely to lead to a misconception arising in the minds of that section of the public to whom the conduct has been directed astrazeneca pty ltd v glaxosmithkline australia pty ltd 2006 fcafc 22 at 34 8226 whether or not there is the requirement of some exclusive reputation as an element in the common law tort of passing off there is no such requirement in relation to pt v of the tpa the question is not whether an applicant has shown a sufficient reputation in a particular getup or name the question is whether the use of the particular getup or name by an alleged wrongdoer in relation to his product is likely to mislead or deceive persons familiar with the claimants product to believe that the two products are associated having regard to the state of knowledge of consumers in australia of the claimants product cadbury schweppes pty ltd v darrell lea chocolate shops pty limited 2007 159 fcr 359 at 419 hansen beverage company v bickfords australia pty ltd 2008 fcafc 181 at 39 8226 where the relevant conduct involves representations to the public at large or to a section thereof such as prospective purchasers of a product the respondent markets or proposes to market the issue is one of identifying the ordinary or reasonable members of that class of prospective purchasers campomar sociedad limitada v nike international ltd 2000 hca 12 2000 202 clr 45 at 8485 8226 it is necessary to isolate by some criterion a representative member of the class of prospective purchasers campomar 2000 hca 12 202 clr 45 at 85 this excludes erroneous or fanciful assumptions campomar 2000 hca 12 202 clr 45 at 86 8226 where a transitory association between the names of two products in the mind of a member of the public is immediately dispelled upon a comparison of those products this brief association will generally be of no significance and therefore will not give rise to misleading conduct or deception knight v beyond properties pty ltd 2007 fcafc 170 at 53 
9253,81,8,147,29,2991,the term serious hardship is not defined in the act in powell v evreniades 1989 21 fcr 252 evreniades hill j considered the term as used in s 265 of the income tax assessment act 1936 cth his honour who was concerned with serious hardship to a taxpayers dependants upon the death of the taxpayer observed at 258 there is no definition in s 265 of what is meant by serious hardship nor would one expect there to be each of the words in the phrase is an ordinary english word having a well understood meaning the context in which the words appear makes it clear that the relief board is to consider whether the exaction of the full amount of tax would involve the dependants of a deceased taxpayer in financial difficulty which in all the circumstances can be said to be serious the financial difficulty will be such that the dependants will be in significant need warranting action by the relief board to relieve their condition 14 hill j accepted that there was a distinction between extreme and serious hardship noting that what will constitute either will depend on the circumstances his honour also said it was inappropriate to attempt to state tests of what would constitute serious hardship in the abstract and commented at 259 clearly there would be severe financial hardship if the dependants of a deceased person were left destitute without any means of support that is not to say that in any particular case something less than that will not constitute serious hardship these observations were referred to with apparent approval by gummow j in van grieken v veilands 1991 21 atr 1639 at 1644 16 in the amended notice of appeal the applicant complains that the tribunal used the wrong test in determining the prospect of serious hardship for the respondent in its written submissions it expressed its complaint somewhat differently saying that the tribunal misunderstood the meaning of the term it seems to me that the latter expression is less likely to lead to confusion as it recognises at least implicitly that serious hardship is itself the test that has to be applied to an applicants circumstances to decide if that applicant is eligible for relief from a tax debt there is no other test although there may be issues about which factors in the particular circumstances are or are not relevant to this determination it is because the assessment is based so squarely on the individual circumstances that hill j in evreniades thought it was inappropriate to try and identify in the abstract the circumstances that would give rise to serious hardship 17 this is not to say that guidance cannot be given by examples in which the test of serious hardship would clearly be met in evreniades hill j gave such an example when he recognised that there would be severe financial hardship if persons were left destitute without any means of support the taxation ruling gives a similar example when it says that there would be serious hardship if a taxpayer were left without the means to achieve reasonable acquisitions of food clothing medical supplies accommodation education for children and other basic requirements i do not see any inconsistency in these examples effect must be given to the qualification of reasonable in the taxation ruling and consistently with the reasoning of hill j these examples do not exclude the possibility that something less than destitution will constitute serious hardship whether this is so depends on the particular circumstances of each case 18 it is not entirely clear that the tribunal appreciated that the taxation ruling allowed for consideration of individual circumstances in commenting on the ruling the tribunal said that it is no more than policy and cannot bind this tribunal this comment seems to suggest that the tribunal misunderstood the ruling as providing a rigid rule as i have already explained i do not think that this is the correct interpretation of the ruling but as the tribunal did not apply any such rigid rule the misunderstanding is not of present concern 19 the applicant submitted that the tribunals rejection of the taxation ruling indicates that it used some other unidentified test of serious hardship to make its decision i do not accept this submission the tribunal noted that what is needed for proper maintenance and support is a relative question that can only be answered with regard to the whole of the taxpayers circumstances the tribunal considered all the relevant aspects of the respondents circumstances including whether he could achieve acquisitions of food clothing medical supplies accommodation education for children and other basic requirements that were not excessive or unreasonable in all the circumstances i do not accept that the tribunal used the wrong test 59 the tribunal was aware that it had discretion to grant or withhold relief even it was satisfied on the serious hardship point this is made clear by the tribunals quoting from the decision of hill j in evreniades where his honour said at 262263 it follows from trebilco that in the course of consideration of the release of tax under s 265 the board may consider not only such matters as go to the issue of serious hardship but also other matters which in the discretion of the board may be relevant those other matters being merely proscribed by the general principle that the discretion must be exercised bona fide and for the purposes for which it was conferred there being jurisdiction in this court to intervene if in the overall exercise of the discretion the board does take into account considerations which having regard to the purposes served by s 265 can be seen to be irrelevant 60 i am satisfied that the tribunal did exercise its discretion although the issue of discretion is not addressed under a separate heading there is sufficient indication of this throughout the tribunals reasons for me to be satisfied that this is so 61 it was accepted on all sides that the respondents debt had not arisen because of avoidance or participation in any scheme the applicant submitted however that the tribunal failed to take into account that the respondent had earned substantial amounts of money in the relevant period without making adequate provision for his tax liability the transcript of the hearing before the tribunal shows that the tribunal questioned the respondent about the issue the respondent talked at length about the difficulties he had in the law firm where the income that gave rise to the tax debt was generated he said that the firm had the capacity to reduce his income retrospectively so that amounts that he was anticipating he would receive did not materialise he also referred to difficulties he had experienced on a family level in moving from interstate at a time when his wifes illness with consequent medical expenses first manifested itself at the same time one childs learning difficulty and anothers serious heart condition now resolved were diagnosed the combination of these factors led to his neglecting his financial affairs and not realising that a debt was accumulated his subsequent drop in income made it impossible to meet the debt
8409,7,35,165,63,46460,to sue for an antecedent debt pursuant to an agreement either express or implied may constitute valuable consideration including in a bankruptcy context wigan v english and scottish law life assurance association 1909 1 ch 291 at 303 re zampatti ex parte rj levack ltd 1993 fca 170 cannane amp anor v official trustee in bankruptcy 1996 65 fcr 453 at 466 official trustee in bankruptcy v racovitis 1995 fca 959 victorian producers cooperative co ltd v kenneth 1999 fca 1488 phillips fox a firm v westgold resources nl 2000 wasca 85 at 22 however in bankruptcyrelated proceedings the forbearance must be for value this point was emphasised in para 8414 of the explanatory memorandum to the bankruptcy legislation amendment bill 1996 cth which enacted s 120 in its current form states forbearance to sue has always been regarded at law as good consideration such forbearance will under the act as proposed to be amended by the bill have to be looked at in the light of the likely value of the chose in action emphasis added
11078,47,39,49,5,45585,in determining whether a bankruptcy notice could reasonably mislead a debtor the court is not confined to an examination of the notice it may look at facts extraneous to the notice including the terms of an earlier bankruptcy notice served on the debtor see re wimborne ex parte the debtor 1979 24 alr 494 lockhart j clyne v deputy commissioner of taxation 1982 42 alr 703 lockhart j roufos v andrea 1981 57 flr 10 at 1516 deane fisher amp fitzgerald jj
1675,82,24,290,16,46090,commonwealth v northern land council 1993 hca 24 1993 176 clr 604 a public interest immunity case about documents recording cabinet deliberations the court said at 620 there was therefore no call for jenkinson j to order that the documents be produced for inspection but we would add that even if there had been the procedure of ordering production of documents for inspection by the legal representatives of one of the parties even upon a restricted basis before the claim for immunity had been decided by the court was open to serious question whatever the safeguards it represents an encroachment upon the confidentiality claimed for the documents and in this case public interest in their immunity from disclosure was of the highest order if inspection of documents is necessary to determine the question of immunity and in this case it was not then it ought to be carried out by the court before ordering production for inspection by a party no doubt this may in some cases cast a heavy burden on the court but it is unavoidable if confidentiality is to be maintained until a claim for immunity is determined see also alister v the queen 1984 154 clr 404 at 469 and gypsy jokers inc v commissioner of police wa 2008 hca 4 2008 234 clr 532 at 180 and 185 per crennan j northern land council and alister concerned inspection by the court of the documents over which privilege was claimed in gypsy jokers crennan j spoke more broadly of information in documents certain material relied on for determination of a proceeding and confidential material before a court which was not revealed to a party seeking it in the queen v bebic unreported 27 may 1982 the court of criminal appeal of new south wales dealt specifically with the disclosure of the contents of an affidavit tendered in support of a public interest immunity claim there samuels ja nagle cj at cl and cantor j said at 4 mr mason tendered an affidavit in support of his claim for privilege he submitted however that the affidavit should not be placed on the file that is to say that it should be read only by the court and not disclosed to the party calling on the footing that the contents of the affidavit would or might themselves compromise the claims for privilege we had and still have some doubts about the propriety of restricting the affidavit in the way proposed however it may well be that that course is in certain cases of which this is one no more than a logical extension of the established practice of the courts inspecting the allegedly privileged documents itself later at 5 after saying that the court had read both documents in question and the affidavit in support of the claim for privilege their honours said it seems to us that granted that it is now commonplace for judges to make a private inspection of documents in order to resolve a claim for privilege it follows that in a proper case the judge may similarly keep to himself the affidavit by which the claim is supported the court then ordered that the affidavit remain sealed up with the papers on the ground that to disclose its contents might prejudice the claim for privilege i have referred in connection with the respondents affidavit to the great importance that is attached to the respondents opinion as to the damage to national security incident upon disclosure obviously that is also the case in relation to the disclosure of the documents over which privilege is claimed i have summarised the respondents reasons for his opinion about the possible effects of disclosure of the documents in question this is all derived from the open parts of his affidavit the final appreciations and related briefing notes set out the reasoning process that underlies the making of security assessments which are the key mechanism by which asio advises government that particular individuals pose a threat to national security if documents falling within this class were required to be produced asio would be giving information about its knowledge assessments and methodology to the very people to whom it is most important that national security information is not disclosed cf alister 154 clr at 454455 per brennan j as the respondent has deposed the relevant class is one of the classes of documents held by asio that require the greatest level of protection first because of the inherent sensitivity of the information that is routinely contained in such documents and second because of the detrimental consequences in terms of the quality of decisionmaking that would be likely to follow if asio officers were forced to omit particular kinds of information from final appreciations and related briefing notes due to the risk that those documents will become available to persons the subject of security assessments the applicants contended that the respondent was not able to make a class claim it was said that he seeks to describe as a class claim documents which he considers constitutes a final appreciation and documents related thereto that description they say does not constitute an identifiable class the table in the affidavit set out at 9 refers to an internal email an internal minute and a briefing note it does not refer to any final appreciation by way of contrast the applicants assert that cabinet documents constitute a clear class claim here they say the socalled class claim involves the respondent asserting for himself that particular documents constitute final appreciations i do not think that is a fair description of the respondents claim the presently relevant parts of his affidavit are as follows a shortly after identifying the documents in the table at 9 he describes them on a class basis as paradigm examples of documents that asio should not be required to disclose save in exceptional circumstances b the results of complex security assessments are usually contained in a final appreciation document though it may not be headed in that way c the final appreciation ordinarily takes the form of an asio minute d when the investigative branch assesses an individual to be a threat to australias national security the respondent is advised usually by a dgbn e often both a dgbn and a final appreciation are provided to the respondent for decision f it is the document on which a security assessment is based being the final appreciation however that document is headed and any associated dgbn that cannot be disclosed g the class claim advanced concerns the class of documents shortly described as final appreciation documents and related briefing notes h documents in this class invariably contain specific detail as to why persons are assessed as a risk to national security and specific details of intelligence sources and methods i the respondent has examined the asio documents namely those in the table the class claim and the contents claim documents and j the disclosure of the documents in i would prejudice australias national security for the reasons stated in the affidavit
8668,22,12,353,151,9829,fundamental to the tribunals decision was its understanding that the relevant test of substantial compliance was as discussed in baidakova v minister for immigration amp multicultural affairs 1998 fca 1436 at 6 the tribunal applied the substantial compliance test to condition 82023b however the requirement in condition 82023b to provide a certificate cannot logically be satisfied by substantial compliance either condition 82023b is satisfied or it is not either there is a certificate of an at least satisfactory academic result or there is not jayasekara v minister for immigration amp multicultural amp indigenous affairs 2006 fcafc 167 2006 156 fcr 199 per heerey and sundberg jj it is not in dispute that the education provider the university of sydney the university had not provided the necessary certificate there was no compliance with condition 82023b there is no scope for operation of the distinction between strict compliance and substantial compliance in determining whether item 82023b of sch 8 of the regulations is satisfied weerasinghe v minister for immigration amp multicultural amp indigenous affairs 2004 fca 261 at 10 cited in jayasekara at 5
16985,87,2,492,461,40055,the applicant contends that there is no power to revoke the s 16 notice dutton v republic of south africa 1999 fca 498 162 alr 625 tervonen v minister for justice and customs no 2 2007 fca 1684 at 108 2007 fca 1684 98 ald 589 varied minister for home affairs v tervonen 2008 fcafc 24
15700,95,25,117,107,25892,the appellant says a proper inference can not be drawn from the country information relied upon by the tribunal that an applicant for a passport is of no interest to prc authorities on grounds of prior protest conduct for reasons of political opinion simply because the applicant obtains a passport and achieves an objective of lawfully leaving china however five things should be noted first the tribunal was entitled to prefer the country information it obtained and rely upon it in discharging its factfinding role nahi v minister for immigration amp multicultural amp indigenous affairs 2004 fcafc 10 11 and 41 relying upon vtag v minister for immigration and multicultural and indigenous affairs 2005 fcafc 91 2005 141 fcr 291 and vao v minister for immigration and multicultural affairs 2002 fca 161 at 25 secondly the finding is primarily supported by the tribunals assessment of the appellants evidence thirdly the appellant accepted that he had not engaged in protest activity and explained the conjunction of circumstances causing that to be so fourthly even if no proper inference arises out of the older country information the tribunal did not act on no evidence in reaching its finding as evidence that is the appellants own evidence supported the finding fifthly the question of whether there is any evidence of a particular fact is a question of law just as whether a particular inference can be drawn from facts found or agreed is a question of law accordingly in the context of judicial review the making of findings and the drawing of inferences in the absence of evidence is an error of law on the other hand clearly enough there is no error of law in simply making a wrong finding of fact in addition even if the reasoning upon which the decisionmaker reached its conclusion of fact is demonstrated to be unsound that would not amount to error of law minister for immigration and multicultural affairs v almiahi 2001 fca 744 2002 65 ald 141 per sundberg emmett and finkelstein jj at 34 even if it is accepted that the earlier country information did not support an inference drawn by the tribunal there was nevertheless evidence before the tribunal supporting the findings of fact
963,8,39,397,292,17471,courts discretion to order costs under s 43 of the federal court of australia act 1976 cth is unfettered except that it must be exercised judicially the usual order as to costs is that a successful party will have its costs paid on a party and party basis by the unsuccessful party colgatepalmolive company v cussons pty ltd 1993 46 fcr 225 at 232234 as the passage from cretazzo indicates the mere fact that a substantially successful applicant fails on particular issues of fact or law along the way may not afford an adequate ground for depriving that applicant of some or all of its costs on the other hand it lies within the courts discretion to make a costs order that reflects the degree of success attained ruddock v vadarlis no 2 2001 fca 1865 2001 115 fcr 229 at 234235 11 and 236 15 depending on the circumstances it may be an appropriate exercise of the courts discretion to deprive a party of its costs in respect of an issue which it lost at trial cummings v lewis 1993 41 fcr 559 at 599604 and dias aluminium products pty ltd v ullrich aluminium pty ltd no 2 2005 fca 1400 at 3 alternatively the court can order a successful party to pay some costs in respect of unsuccessful aspects of the case hughes v western australian cricket association inc 1986 atpr 40748 at 48136 forster v farquhar 1893 1 qb 564 and inn leisure industries pty ltd v df mccloy pty ltd no 2 1991 28 fcr 172
15759,69,7,218,170,4239,i do not think that pioneer concrete is of assistance on the present point the issue there was an alleged breach of restraint of trade covenants and required the court to consider the difference between acts preparatory to the carrying on of a business and carrying on a business independent management is more helpful the plaintiff in that case alleged that a former employee had misused confidential information obtained during her employment and had breached her duty of fidelity the employee had successfully tendered for a contract previously held by the plaintiff marks j said that the skill and information gained by the defendant was outside the protected category he referred to the following observations of gowans j in ansell rubber co pty ltd v allied rubber industries pty ltd 1967 vr 37 at 40 in this field a distinction has to be maintained between information and knowledge acquired in confidence by an employee during his employment which he uses or discloses for his own advantage while he is still an employee and information and knowledge so acquired which he uses for his own advantage after his employment is finished a further distinction has to be drawn between information which forms part of the employees stock of general knowledge skill and experience and that which should fairly be regarded as a separate part of the employees stock of knowledge whether it be identifiable as particular or detailed or special which a man of ordinary intelligence and honesty would regard as the property of the former employer
